number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.9195975436905505,,0.5383468592277197,0.12927327220518442,8.0,,,xgboost,18.0,0.8558928798347654,COMPLETE,0 days 00:00:33.464656
1,0.9078163398901048,,0.8846955055206542,0.07372383154765065,3.0,,,xgboost,27.0,0.5284305129772995,COMPLETE,0 days 00:00:27.813070
2,0.913481831966068,,0.8832618360088031,0.046435811355767624,5.0,,,lightgbm,11.0,0.6699703788722386,COMPLETE,0 days 00:00:25.962177
3,0.8968340327453633,,,,4.0,1.0,7.0,random_forest,18.0,,COMPLETE,0 days 00:00:23.347889
4,0.9305493571649204,,0.533913961568784,0.2671684458421746,9.0,,,lightgbm,26.0,0.5099166064984577,COMPLETE,0 days 00:00:27.892188
5,0.9133346198561818,,0.6477547829704927,0.19981441936067487,3.0,,,lightgbm,8.0,0.5518544841814395,COMPLETE,0 days 00:00:25.520980
6,0.8823373004007448,,,,3.0,2.0,4.0,random_forest,22.0,,COMPLETE,0 days 00:00:22.644876
7,0.9193157768571716,,0.5925144136603736,0.2546799276637561,3.0,,,lightgbm,13.0,0.8581482295290201,COMPLETE,0 days 00:00:25.565111
8,0.9187884669653852,,0.6595186926558951,0.013766146037756728,6.0,,,lightgbm,15.0,0.6467031814591606,COMPLETE,0 days 00:00:30.107629
9,0.9188088909278017,0.9903673395833908,,,,,,svm,,,COMPLETE,0 days 00:02:21.744375
10,0.9238099777236956,,0.6227009379273651,0.10378457736756468,5.0,,,lightgbm,30.0,0.5711526766411431,COMPLETE,0 days 00:00:44.686328
11,0.9183072920722992,2.0327881368313263,,,,,,svm,,,COMPLETE,0 days 00:02:38.134420
12,0.9302567194545627,,0.5071507525226653,0.29663193986619496,9.0,,,lightgbm,30.0,0.5117768561683935,COMPLETE,0 days 00:00:29.786890
13,0.9181294078159237,2.9202490546817277,,,,,,svm,,,COMPLETE,0 days 00:02:49.109035
14,0.9301626840835211,,0.5095279103282835,0.29996935296403243,9.0,,,lightgbm,25.0,0.9806022193374455,COMPLETE,0 days 00:00:28.961303
15,0.9303435212616247,,0.7532499671073647,0.20948223321536696,8.0,,,lightgbm,30.0,0.5128298149513806,COMPLETE,0 days 00:00:28.403363
16,0.9289889236868266,,0.7880377681388242,0.19519721866962403,8.0,,,lightgbm,23.0,0.6459718381500026,COMPLETE,0 days 00:00:32.976437
17,0.9114751532402908,,,,7.0,5.0,10.0,random_forest,27.0,,COMPLETE,0 days 00:00:27.650967
18,0.9114581756608086,,,,7.0,5.0,10.0,random_forest,26.0,,COMPLETE,0 days 00:00:29.634440
19,0.927685379622495,,0.7560037866345476,0.21647726415198465,8.0,,,xgboost,21.0,0.7298195637736697,COMPLETE,0 days 00:00:33.724315
20,0.9263656856641042,,0.7656951210170204,0.20850964671957417,8.0,,,xgboost,21.0,0.7356039787673311,COMPLETE,0 days 00:00:36.241306
21,0.9301631530926127,,0.9740820820168066,0.2414416627587662,9.0,,,lightgbm,30.0,0.6004551928735258,COMPLETE,0 days 00:00:29.486413
22,0.929760105466601,,0.9937403308178596,0.29998320027216663,9.0,,,lightgbm,30.0,0.5467378688825152,COMPLETE,0 days 00:00:28.666149
23,0.9298518312847902,,0.7030841379895031,0.29234885849919406,9.0,,,lightgbm,30.0,0.5108528042573084,COMPLETE,0 days 00:00:28.375720
24,0.9306692587376405,,0.6904257540012053,0.266210895095986,9.0,,,lightgbm,28.0,0.5001837278707385,COMPLETE,0 days 00:00:26.320167
25,0.930455555898361,,0.5602160246425456,0.25665525854376475,7.0,,,lightgbm,27.0,0.5033899854777403,COMPLETE,0 days 00:00:28.795165
26,0.9283010496835811,,0.8192229914456277,0.16855312007697998,7.0,,,lightgbm,24.0,0.5999623197233035,COMPLETE,0 days 00:00:28.059207
27,0.9299878004131793,,0.575043732029015,0.26118254794870127,7.0,,,lightgbm,24.0,0.599315767946723,COMPLETE,0 days 00:00:27.433649
28,0.9298677638715858,,0.5550699353763493,0.2616232962747328,6.0,,,lightgbm,27.0,0.6103997725749895,COMPLETE,0 days 00:00:28.930697
29,0.921066736631654,0.12752412105745314,,,,,,svm,,,COMPLETE,0 days 00:01:14.705782
30,0.9210300315284621,0.13148704676873546,,,,,,svm,,,COMPLETE,0 days 00:01:08.250784
31,0.9239660712083229,,0.6956373090484316,0.2369336112240338,6.0,,,xgboost,19.0,0.8046273546485525,COMPLETE,0 days 00:00:29.496997
32,0.9305536372592759,,0.6987195673399639,0.23289820053266763,8.0,,,lightgbm,28.0,0.5005451896273716,COMPLETE,0 days 00:00:27.363425
33,0.9305498837335088,,0.7063131411722265,0.26904965926130664,8.0,,,lightgbm,28.0,0.5001554337694749,COMPLETE,0 days 00:00:27.518235
34,0.9301565076652317,,0.6075058064464061,0.2672966019811911,8.0,,,lightgbm,27.0,0.5588384532517021,COMPLETE,0 days 00:00:27.221412
35,0.9299881039685168,,0.7189619221724561,0.27376724798608876,9.0,,,lightgbm,28.0,0.5615101939363893,COMPLETE,0 days 00:00:27.905945
36,0.9303080782930655,,0.704701305851971,0.23096359239382333,9.0,,,lightgbm,28.0,0.5005302897572771,COMPLETE,0 days 00:00:28.048091
37,0.9300415041110766,,0.675870279596355,0.23363603225713334,8.0,,,lightgbm,25.0,0.5029162748915998,COMPLETE,0 days 00:00:28.254411
38,0.9125310707148765,,,,8.0,3.0,2.0,random_forest,25.0,,COMPLETE,0 days 00:00:29.109582
39,0.9126705345624512,,,,8.0,3.0,2.0,random_forest,28.0,,COMPLETE,0 days 00:00:30.341215
40,0.9079565792554379,,0.825281162590899,0.2779792383472629,9.0,,,xgboost,5.0,0.5774387565463236,COMPLETE,0 days 00:00:27.866154
41,0.910106105357495,,0.8214044151140583,0.18373158353159197,9.0,,,xgboost,7.0,0.5810312211285974,COMPLETE,0 days 00:00:28.812322
42,0.9298151730821145,,0.6341595991980773,0.2491872434818908,7.0,,,lightgbm,26.0,0.538700160044371,COMPLETE,0 days 00:00:28.465410
43,0.9273736309949525,,0.5445706300139892,0.13256418481419024,7.0,,,lightgbm,28.0,0.5407295431980642,COMPLETE,0 days 00:00:27.995591
44,0.9299535833266858,,0.5362452800666045,0.2794871803588347,7.0,,,lightgbm,28.0,0.5401858200806946,COMPLETE,0 days 00:00:29.084666
45,0.929732696527967,,0.577009140139651,0.22625896529536466,8.0,,,lightgbm,23.0,0.5010971382957392,COMPLETE,0 days 00:00:28.188144
46,0.9272584228712533,,0.7259133103761524,0.2187969576276428,8.0,,,lightgbm,16.0,0.5030509227698251,COMPLETE,0 days 00:00:26.668105
47,0.9268728999459563,,0.7258759328720044,0.27720708566392355,5.0,,,lightgbm,19.0,0.6959255129010968,COMPLETE,0 days 00:00:26.173580
48,0.9304554769425978,,0.676966841733527,0.25756194912113545,9.0,,,lightgbm,26.0,0.5363520061798732,COMPLETE,0 days 00:00:27.217230
49,0.9249204298498416,,0.6029442040513563,0.2503070188909978,9.0,,,lightgbm,11.0,0.627040365918559,COMPLETE,0 days 00:00:20.647049
