number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
24,0.7092128689799058,,0.8549305588297555,0.17191277669974225,6.0,,,xgboost,30.0,over,,0.9052756903808712,COMPLETE,0 days 00:00:03.211064
25,0.7102648655918357,,0.8671138135926018,0.2181316831674287,5.0,,,xgboost,26.0,over,,0.9287697430780782,COMPLETE,0 days 00:00:02.968391
26,0.7051010106620744,,0.7107815891198122,0.20866412785270086,5.0,,,xgboost,26.0,smote,3.0,0.8274085272204212,COMPLETE,0 days 00:00:23.732857
27,0.7106862660963785,,0.8834350921090066,0.23006823732575474,9.0,,,xgboost,26.0,smote,3.0,0.995400557439909,COMPLETE,0 days 00:00:30.079082
28,0.7076355282164486,,0.8937879155320972,0.2644037667314473,6.0,,,xgboost,26.0,over,,0.9977867765618655,COMPLETE,0 days 00:00:04.748272
29,0.6982164825503694,,0.7699371070437703,0.23933562994928093,9.0,,,xgboost,21.0,over,,0.9374026091811392,COMPLETE,0 days 00:00:03.802118
30,0.693975432967512,2.678922230017231,,,,,,svm,,smote,3.0,,COMPLETE,0 days 00:01:11.113752
31,0.6939502340548248,2.750982201178145,,,,,,svm,,smote,3.0,,COMPLETE,0 days 00:01:17.741718
32,0.7098131199804567,,0.8916235808424341,0.2140310067336825,9.0,,,xgboost,28.0,smote,10.0,0.942846527433645,COMPLETE,0 days 00:00:30.645538
33,0.7106384131058366,,0.8941846025837334,0.20851724679001093,9.0,,,xgboost,28.0,smote,5.0,0.9501037540560733,COMPLETE,0 days 00:00:29.346312
34,0.7094104094467246,,0.8987097066174777,0.2937624406762368,9.0,,,xgboost,25.0,smote,10.0,0.9457849533894689,COMPLETE,0 days 00:00:29.874052
35,0.6961559457432211,,,,9.0,5.0,8.0,random_forest,26.0,smote,10.0,,COMPLETE,0 days 00:00:26.167166
36,0.6937065311484959,,,,9.0,5.0,8.0,random_forest,21.0,smote,5.0,,COMPLETE,0 days 00:00:26.185550
37,0.6954394091143428,,,,9.0,1.0,7.0,random_forest,21.0,smote,5.0,,COMPLETE,0 days 00:00:26.065900
38,0.7081552198335485,,0.8947865679814062,0.22344759516564525,8.0,,,xgboost,19.0,smote,5.0,0.9718672814441833,COMPLETE,0 days 00:00:26.478662
39,0.7115165323853733,,0.8966939817799894,0.2284604560030927,8.0,,,xgboost,28.0,smote,5.0,0.9703575317095703,COMPLETE,0 days 00:00:29.138618
40,0.7106542582961556,,0.9272339195355005,0.2506989162887951,8.0,,,xgboost,28.0,smote,8.0,0.925099257308624,COMPLETE,0 days 00:00:28.861674
41,0.7105553144529315,,0.9972682018250902,0.25995277541508655,8.0,,,lightgbm,28.0,smote,4.0,0.9170351534911307,COMPLETE,0 days 00:00:25.314132
42,0.7088938318454888,,0.9324545640180787,0.25075200475728066,8.0,,,xgboost,28.0,smote,8.0,0.9138569016659513,COMPLETE,0 days 00:00:28.999583
43,0.7113347055916722,,0.9977724784510349,0.2548481430209565,8.0,,,lightgbm,28.0,smote,4.0,0.998773496837361,COMPLETE,0 days 00:00:25.281277
44,0.7110404668771614,,0.9408378005490351,0.2521644169049129,8.0,,,lightgbm,28.0,smote,4.0,0.9984832876779094,COMPLETE,0 days 00:00:25.922053
45,0.7098889930855575,,0.9792363159379107,0.2812956221378523,8.0,,,lightgbm,28.0,smote,4.0,0.9899138687725242,COMPLETE,0 days 00:00:26.479254
46,0.706864884700904,,0.9815030811547801,0.2853581626057716,7.0,,,lightgbm,15.0,smote,4.0,0.997564094627739,COMPLETE,0 days 00:00:22.896284
47,0.6963986161501117,,0.9460421629028071,0.28237851142560394,7.0,,,lightgbm,5.0,smote,4.0,0.9761655847924731,COMPLETE,0 days 00:00:22.675589
48,0.7104291881251793,,0.9456701774591414,0.25491610561740097,7.0,,,lightgbm,25.0,smote,4.0,0.969585989832236,COMPLETE,0 days 00:00:16.915043
49,0.7083424294334629,,0.926980176204717,0.1878879331234618,7.0,,,lightgbm,24.0,under,,0.9693333259448402,COMPLETE,0 days 00:00:04.557013
