number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6910007134614515,,,,7.0,3.0,2.0,random_forest,18.0,over,,,COMPLETE,0 days 00:00:03.693138
1,0.6721800282851191,,,,3.0,2.0,3.0,random_forest,21.0,over,,,COMPLETE,0 days 00:00:02.916394
2,0.6938474431832523,,,,8.0,3.0,4.0,random_forest,18.0,under,,,COMPLETE,0 days 00:00:04.915076
3,0.6938325712740602,,,,8.0,5.0,3.0,random_forest,27.0,smote,8.0,,COMPLETE,0 days 00:00:27.135494
4,0.7072262242374631,,0.9718963510252661,0.27295232962610555,7.0,,,lightgbm,27.0,under,,0.9822985297124871,COMPLETE,0 days 00:00:03.624776
5,0.7083691559516371,,0.5181818632608555,0.1989996836540362,5.0,,,xgboost,29.0,over,,0.8762645481165459,COMPLETE,0 days 00:00:03.408565
6,0.7090910925553665,,0.9428744776069711,0.17961487798736236,5.0,,,xgboost,29.0,under,,0.824395905147628,COMPLETE,0 days 00:00:03.366523
7,0.6978742632047968,0.8377203202300314,,,,,,svm,,under,,,COMPLETE,0 days 00:00:15.776432
8,0.6939405198904612,,,,8.0,1.0,10.0,random_forest,27.0,smote,7.0,,COMPLETE,0 days 00:00:26.758317
9,0.6911108965546523,,0.9433125778021964,0.23220970835975083,7.0,,,xgboost,8.0,under,,0.515964925037216,COMPLETE,0 days 00:00:04.674548
10,0.6952870371876777,1.2431606545934313,,,,,,svm,,smote,6.0,,COMPLETE,0 days 00:01:00.563605
11,0.6755568608389327,,0.7636832456224636,0.056006167310688054,4.0,,,xgboost,9.0,under,,0.7093143151202904,COMPLETE,0 days 00:00:02.306407
12,0.7096410565873041,,0.5273475146325064,0.1554937578927579,5.0,,,xgboost,30.0,over,,0.879791502198734,COMPLETE,0 days 00:00:02.886626
13,0.7061272697453287,,0.5159971189401411,0.12285112776781898,5.0,,,xgboost,23.0,over,,0.7945122570015986,COMPLETE,0 days 00:00:03.001253
14,0.7097226874065274,,0.7379482975339338,0.14400349736643853,5.0,,,xgboost,30.0,over,,0.8620427971859804,COMPLETE,0 days 00:00:04.388942
15,0.6848895044933889,,0.656435058949687,0.113142677997638,3.0,,,lightgbm,13.0,over,,0.9463860543062657,COMPLETE,0 days 00:00:03.273355
16,0.6944303652949552,2.938294149029311,,,,,,svm,,over,,,COMPLETE,0 days 00:00:36.566307
17,0.7077545846636015,,0.7171594330154655,0.12609883503874975,6.0,,,xgboost,23.0,over,,0.6849990828045549,COMPLETE,0 days 00:00:04.380850
18,0.6817497860165936,,0.6204309355886031,0.04823032263964534,4.0,,,xgboost,13.0,over,,0.894492452047251,COMPLETE,0 days 00:00:02.453072
19,0.709493497630597,,0.8273970463897609,0.15210294158439755,6.0,,,xgboost,30.0,over,,0.7651025174844804,COMPLETE,0 days 00:00:03.299195
20,0.7013168277621181,,0.8156179813483628,0.09319420186930205,4.0,,,lightgbm,24.0,over,,0.8646879320010044,COMPLETE,0 days 00:00:03.091686
21,0.7003229626346533,,0.5990344995950019,0.08645614633374393,4.0,,,lightgbm,24.0,over,,0.6158380754418553,COMPLETE,0 days 00:00:02.946778
22,0.7096522010905696,,0.8357028294898416,0.16400137935000975,6.0,,,xgboost,30.0,over,,0.7566690086536849,COMPLETE,0 days 00:00:05.336469
23,0.7090326573943427,,0.8393144307082085,0.1644774216745573,6.0,,,xgboost,30.0,over,,0.7541450926936706,COMPLETE,0 days 00:00:05.560196
