number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6933303290000578,,0.9263480920098025,0.18233794361894676,9.0,,,xgboost,17.0,over,,0.5903611552628916,COMPLETE,0 days 00:00:06.655005
1,0.6921578569094055,1.4560972096169202,,,,,,svm,,smote,3.0,,COMPLETE,0 days 00:01:00.542149
2,0.6792890621346555,,0.7219896257111947,0.1928321472439887,4.0,,,lightgbm,8.0,smote,4.0,0.62658719049084,COMPLETE,0 days 00:00:24.429853
3,0.7053638062413818,,0.9077243768840635,0.0734517171521228,7.0,,,xgboost,29.0,under,,0.8821320472788614,COMPLETE,0 days 00:00:06.382161
4,0.6966751104016576,,0.5259947197288081,0.04612685550035267,9.0,,,lightgbm,26.0,smote,10.0,0.9762053697238045,COMPLETE,0 days 00:00:24.449512
5,0.6931541531705587,1.4602081185864022,,,,,,svm,,smote,4.0,,COMPLETE,0 days 00:01:02.334476
6,0.6966484158443013,0.37121646270343045,,,,,,svm,,over,,,COMPLETE,0 days 00:00:28.357365
7,0.7004983387843623,,0.5949258082946296,0.045698443020592394,9.0,,,lightgbm,23.0,under,,0.8548251182491744,COMPLETE,0 days 00:00:03.062358
8,0.7006559979342972,,0.7359290259972446,0.05572058846124371,7.0,,,lightgbm,23.0,under,,0.863151521131567,COMPLETE,0 days 00:00:04.443954
9,0.6820725758297647,,0.5107789797254949,0.015166883016585983,4.0,,,xgboost,17.0,over,,0.7783136434862972,COMPLETE,0 days 00:00:03.124361
10,0.6771864121660358,,,,4.0,1.0,9.0,random_forest,18.0,over,,,COMPLETE,0 days 00:00:02.826773
11,0.7048397233268028,,0.9926213200858192,0.29617249780789073,6.0,,,xgboost,30.0,under,,0.9891308924164275,COMPLETE,0 days 00:00:03.249496
12,0.7050604039925691,,0.9749649268129718,0.26200436361063817,6.0,,,xgboost,30.0,under,,0.9938883851864582,COMPLETE,0 days 00:00:06.730517
13,0.7013994134455376,,0.8837486883644521,0.2956262122551172,6.0,,,xgboost,29.0,under,,0.9076957536752754,COMPLETE,0 days 00:00:03.740228
14,0.6866277083715406,,0.8498013433682006,0.11608483192573321,7.0,,,xgboost,5.0,under,,0.731486685928207,COMPLETE,0 days 00:00:02.498749
15,0.6888560358091026,,,,6.0,5.0,2.0,random_forest,25.0,under,,,COMPLETE,0 days 00:00:03.762335
16,0.6888560358091026,,,,6.0,5.0,2.0,random_forest,25.0,under,,,COMPLETE,0 days 00:00:05.635240
17,0.7032014350191652,,0.9847543402139309,0.23658281897827013,7.0,,,xgboost,30.0,under,,0.9449364813768276,COMPLETE,0 days 00:00:06.224159
18,0.7050829272315767,,0.9963758895473894,0.12377180298018639,7.0,,,xgboost,30.0,under,,0.9107076087595583,COMPLETE,0 days 00:00:03.343373
19,0.6969595601878026,,0.8157872107782825,0.12276740093426922,8.0,,,xgboost,12.0,under,,0.785405138198204,COMPLETE,0 days 00:00:02.853918
20,0.7001105928491329,,0.8195408185663335,0.11603758856327567,8.0,,,xgboost,20.0,under,,0.7764691956759603,COMPLETE,0 days 00:00:03.363962
21,0.700885178308097,,0.7957932940762511,0.10419543762307304,5.0,,,xgboost,21.0,under,,0.6850356976836405,COMPLETE,0 days 00:00:02.721867
22,0.7023742887474551,,0.9381907803959945,0.08705405033115733,5.0,,,xgboost,27.0,under,,0.8994053330238332,COMPLETE,0 days 00:00:03.071744
23,0.705799905355088,,0.9145296182355696,0.15270320175372884,5.0,,,xgboost,27.0,under,,0.9003826310210904,COMPLETE,0 days 00:00:03.247863
24,0.6997174585517164,,0.9262230965809803,0.15557304475421166,8.0,,,xgboost,27.0,under,,0.5106797729439081,COMPLETE,0 days 00:00:05.369270
25,0.7014753938744637,,0.9020207384923974,0.14839208342602841,3.0,,,xgboost,27.0,under,,0.8315592974917515,COMPLETE,0 days 00:00:04.055573
26,0.6943533368755458,,0.9407100157943025,0.1750156075105195,8.0,,,xgboost,28.0,under,,0.5123765817126806,COMPLETE,0 days 00:00:03.600254
27,0.6907856086506946,,0.8676000952910111,0.07208778012187216,5.0,,,xgboost,13.0,under,,0.9106398198159258,COMPLETE,0 days 00:00:02.436348
28,0.693068350090308,,,,7.0,1.0,10.0,random_forest,28.0,under,,,COMPLETE,0 days 00:00:03.838858
29,0.687708410230598,,,,7.0,1.0,10.0,random_forest,24.0,smote,9.0,,COMPLETE,0 days 00:00:23.808659
30,0.6929678379976701,2.495583981353114,,,,,,svm,,over,,,COMPLETE,0 days 00:00:35.554772
31,0.6928135645789295,2.981211659745899,,,,,,svm,,over,,,COMPLETE,0 days 00:00:36.178775
32,0.7051562195423463,,0.985922661485044,0.2236557836858754,6.0,,,xgboost,30.0,under,,0.9473866912922005,COMPLETE,0 days 00:00:04.452363
33,0.7066450847622114,,0.9935823223646545,0.20334114386709107,5.0,,,xgboost,30.0,under,,0.936332271380883,COMPLETE,0 days 00:00:02.714176
34,0.7055125441925346,,0.9512336412127329,0.21838487176093888,5.0,,,xgboost,28.0,under,,0.9421834109235837,COMPLETE,0 days 00:00:02.903062
35,0.69765567333903,,0.6765614366728775,0.20739900561776375,5.0,,,xgboost,21.0,smote,6.0,0.8516551969694337,COMPLETE,0 days 00:00:25.765791
36,0.6985485145269825,,0.9455608239232661,0.21220726396367065,5.0,,,xgboost,21.0,smote,7.0,0.8365340019649175,COMPLETE,0 days 00:00:24.998919
37,0.7073321232998987,,0.9523545248904668,0.2623686056505897,5.0,,,lightgbm,28.0,smote,7.0,0.9384509669849731,COMPLETE,0 days 00:00:22.961898
38,0.7077917416893852,,0.9042370291887807,0.25109030920684994,4.0,,,lightgbm,28.0,under,,0.9464779669626483,COMPLETE,0 days 00:00:04.233926
39,0.7052980372899876,,0.8602407993486856,0.2612692550058568,3.0,,,lightgbm,26.0,under,,0.9437249292312068,COMPLETE,0 days 00:00:02.998371
40,0.707116864126081,,0.955913989058708,0.2451134601969624,4.0,,,lightgbm,28.0,under,,0.9522786581808266,COMPLETE,0 days 00:00:02.562196
41,0.7064241552615508,,0.9086769772428558,0.2527728842895705,4.0,,,lightgbm,24.0,smote,8.0,0.9695479617896907,COMPLETE,0 days 00:00:22.835393
42,0.7059028202094684,,0.9139406396590551,0.2532503124894436,4.0,,,lightgbm,25.0,smote,7.0,0.958951221029946,COMPLETE,0 days 00:00:24.923853
43,0.7050516563907755,,0.9591415329607402,0.25075659350446755,4.0,,,lightgbm,25.0,smote,7.0,0.9640373048655356,COMPLETE,0 days 00:00:24.120323
44,0.7053517584052864,,0.963482754586425,0.2797998726855285,4.0,,,lightgbm,23.0,smote,8.0,0.9993147648233992,COMPLETE,0 days 00:00:22.633699
45,0.700163147826793,,0.7744513851794186,0.27629817842900734,3.0,,,lightgbm,23.0,smote,9.0,0.9958238116909234,COMPLETE,0 days 00:00:23.132848
46,0.7020248185261931,,0.8857739565244108,0.23990541446215677,3.0,,,lightgbm,28.0,smote,9.0,0.9316632233626179,COMPLETE,0 days 00:00:24.653941
47,0.7059728728346384,,0.8876992409471243,0.2351789986987801,4.0,,,lightgbm,29.0,smote,6.0,0.8841898384314398,COMPLETE,0 days 00:00:24.342625
48,0.705087875521096,,0.6816294746346357,0.19250194752423694,4.0,,,lightgbm,29.0,smote,6.0,0.8787716350083029,COMPLETE,0 days 00:00:22.701146
49,0.7030857574703556,,0.6415638226463583,0.19621325360113429,4.0,,,lightgbm,26.0,smote,5.0,0.9723097342243954,COMPLETE,0 days 00:00:15.573059
