number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6852465072666235,,0.699851382796933,0.05811368032595976,3.0,,,lightgbm,20.0,over,,0.6873359698948267,COMPLETE,0 days 00:00:02.875264
1,0.7034009854610956,1.8907076312434685,,,,,,svm,,under,,,COMPLETE,0 days 00:00:17.272117
2,0.7005427163572825,,,,7.0,1.0,10.0,random_forest,30.0,over,,,COMPLETE,0 days 00:00:06.220486
3,0.6824250606839378,,,,7.0,5.0,8.0,random_forest,9.0,smote,8.0,,COMPLETE,0 days 00:00:22.580011
4,0.6816528429712854,,0.7170424163625104,0.02196342828436538,8.0,,,xgboost,21.0,smote,3.0,0.7858930971884824,COMPLETE,0 days 00:00:28.668485
5,0.7087695245010069,,0.531714982000577,0.25392480309441373,5.0,,,xgboost,16.0,over,,0.6179164564340891,COMPLETE,0 days 00:00:02.692148
6,0.704199616713428,1.1058782694905465,,,,,,svm,,under,,,COMPLETE,0 days 00:00:16.457928
7,0.6958778787219111,,,,9.0,1.0,8.0,random_forest,16.0,over,,,COMPLETE,0 days 00:00:04.169952
8,0.7020132522379429,1.4723140175995104,,,,,,svm,,over,,,COMPLETE,0 days 00:00:36.078201
9,0.7076663393030757,0.12780163669162597,,,,,,svm,,over,,,COMPLETE,0 days 00:00:21.903068
10,0.7102999084479058,,0.8902465068038351,0.2869144235186644,7.0,,,lightgbm,14.0,over,,0.7362195293505448,COMPLETE,0 days 00:00:03.261888
11,0.6930317444581412,,0.9980787128749763,0.29711316877287286,5.0,,,lightgbm,5.0,under,,0.9615843965598816,COMPLETE,0 days 00:00:02.285897
12,0.7053811103632714,,0.5264216504361549,0.2859638003887456,5.0,,,xgboost,14.0,over,,0.5282531100848245,COMPLETE,0 days 00:00:02.645604
13,0.706011054496121,,0.9318922590275662,0.20731326731084052,5.0,,,xgboost,12.0,over,,0.6642461975546815,COMPLETE,0 days 00:00:02.606639
14,0.7095645176110931,,0.5074082376841252,0.20758619564400757,3.0,,,lightgbm,24.0,over,,0.5751733621712485,COMPLETE,0 days 00:00:04.598311
15,0.709629393813629,,0.5016109864382277,0.21014161786555133,3.0,,,lightgbm,24.0,over,,0.5818704523436617,COMPLETE,0 days 00:00:04.029127
16,0.704884803833933,,0.8302904247122176,0.1594248767808964,3.0,,,lightgbm,26.0,smote,10.0,0.830892237237894,COMPLETE,0 days 00:00:22.301660
17,0.7127056947601077,,0.835284727426602,0.13130747341340587,7.0,,,lightgbm,27.0,smote,10.0,0.8161517362806646,COMPLETE,0 days 00:00:23.808476
18,0.7126798736686438,,0.8663971679821525,0.22266297032707696,7.0,,,lightgbm,20.0,over,,0.8796538978610567,COMPLETE,0 days 00:00:03.027215
19,0.7015004057871241,,0.843605834557729,0.12625193658124367,7.0,,,lightgbm,10.0,under,,0.8854957149851488,COMPLETE,0 days 00:00:03.127132
20,0.7135563377808704,,0.8049502891112775,0.11248247481773374,9.0,,,lightgbm,29.0,smote,10.0,0.8953879766098258,COMPLETE,0 days 00:00:26.150896
21,0.715057224009362,,0.8057204277207468,0.12455623430525445,9.0,,,lightgbm,30.0,smote,10.0,0.9890880950469765,COMPLETE,0 days 00:00:26.003419
22,0.7141599093433388,,0.7719573615692311,0.1101957079798468,9.0,,,lightgbm,30.0,smote,10.0,0.9057187629401923,COMPLETE,0 days 00:00:24.744436
23,0.7142544316441062,,0.7905950739617196,0.11352975479662737,9.0,,,lightgbm,30.0,smote,10.0,0.9925381756848308,COMPLETE,0 days 00:00:26.344156
24,0.712042928370561,,0.7605724431807036,0.0912002632371786,9.0,,,lightgbm,30.0,smote,10.0,0.9961619963015318,COMPLETE,0 days 00:00:24.735018
25,0.7107401696267458,,0.7581741583638647,0.07741644002671604,9.0,,,lightgbm,30.0,smote,8.0,0.9965320077331788,COMPLETE,0 days 00:00:24.156829
26,0.7145101803105295,,0.6465783292104216,0.15941691964030727,8.0,,,lightgbm,27.0,smote,8.0,0.9477639352584635,COMPLETE,0 days 00:00:24.954458
27,0.7141470079027412,,0.6560651781003851,0.16322169705418477,8.0,,,lightgbm,27.0,smote,8.0,0.9336026644712156,COMPLETE,0 days 00:00:25.773650
