number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.694695380535674,,0.5004498930670878,0.1698516304177947,9.0,,,xgboost,5.0,under,,0.9604168012193075,COMPLETE,0 days 00:00:02.542917
1,0.6798336576382574,,0.9945101769580287,0.16361328058880664,3.0,,,lightgbm,7.0,under,,0.6795602668745653,COMPLETE,0 days 00:00:02.516284
2,0.6974225237174991,,0.6155668711896745,0.12897718802834038,9.0,,,lightgbm,6.0,under,,0.5173908982476552,COMPLETE,0 days 00:00:02.407195
3,0.7032067621651321,1.5557567657256208,,,,,,svm,,under,,,COMPLETE,0 days 00:00:16.479004
4,0.7113710978921935,,0.9276796334053015,0.16737053314101907,8.0,,,xgboost,29.0,over,,0.8364242278463838,COMPLETE,0 days 00:00:05.768312
5,0.7159089820552103,,0.5913671970878761,0.08947546885330986,7.0,,,xgboost,30.0,under,,0.5602426613540004,COMPLETE,0 days 00:00:03.403647
6,0.6944851925359404,,,,6.0,2.0,2.0,random_forest,13.0,over,,,COMPLETE,0 days 00:00:02.831227
7,0.7008134610751275,,,,7.0,3.0,8.0,random_forest,26.0,over,,,COMPLETE,0 days 00:00:04.459087
8,0.6967212095284768,,,,7.0,3.0,7.0,random_forest,19.0,over,,,COMPLETE,0 days 00:00:04.127517
9,0.7035278370419378,1.2962871875916635,,,,,,svm,,under,,,COMPLETE,0 days 00:00:16.688733
10,0.6985163386193859,,,,8.0,2.0,8.0,random_forest,25.0,under,,,COMPLETE,0 days 00:00:05.483906
11,0.6612391681424744,,0.7268158013322068,0.021029219090757778,5.0,,,xgboost,20.0,smote,10.0,0.5174235881633905,COMPLETE,0 days 00:00:23.506523
12,0.6637243274082624,,0.8885223470601717,0.025838446767126017,5.0,,,xgboost,30.0,smote,7.0,0.828448211502445,COMPLETE,0 days 00:00:26.581244
13,0.701983916304035,,0.9648813296321365,0.06996755732277028,7.0,,,xgboost,30.0,smote,3.0,0.8228838105195924,COMPLETE,0 days 00:00:28.355909
14,0.705701329692292,,0.7809010005796995,0.26401163976480674,7.0,,,xgboost,30.0,over,,0.7243973154707828,COMPLETE,0 days 00:00:03.633382
15,0.7135809323521597,,0.6610056379093447,0.09748035528167401,8.0,,,xgboost,24.0,over,,0.8544518309540164,COMPLETE,0 days 00:00:06.033436
16,0.7072581116834012,,0.6193306995322235,0.08719127026708147,8.0,,,xgboost,24.0,smote,3.0,0.6305809756945114,COMPLETE,0 days 00:00:26.650045
17,0.7129368035673771,,0.6181953637856215,0.10214917354541969,8.0,,,xgboost,23.0,over,,0.626244308346757,COMPLETE,0 days 00:00:03.773544
18,0.7030386660784412,,0.6172219258303728,0.08124325923829084,5.0,,,xgboost,14.0,under,,0.9634521449107156,COMPLETE,0 days 00:00:03.803571
19,0.7015909727936162,2.6950422500379974,,,,,,svm,,over,,,COMPLETE,0 days 00:00:37.463485
20,0.7015793422992472,2.7303714113409496,,,,,,svm,,over,,,COMPLETE,0 days 00:00:39.934498
21,0.715718650277631,,0.5076724150743814,0.22074485201835398,6.0,,,lightgbm,22.0,under,,0.8860923749191316,COMPLETE,0 days 00:00:02.506996
22,0.7156901298030443,,0.5012876674094965,0.23193919726558937,6.0,,,lightgbm,21.0,under,,0.8822791530260481,COMPLETE,0 days 00:00:02.540815
23,0.7142748320797141,,0.5008997004795105,0.234571091317494,6.0,,,lightgbm,16.0,under,,0.9096072223746602,COMPLETE,0 days 00:00:03.973612
24,0.7135678714195169,,0.551109301575647,0.21784312886449633,4.0,,,lightgbm,20.0,under,,0.7739731774251808,COMPLETE,0 days 00:00:03.092921
25,0.7145158535891524,,0.5565924455122725,0.2994611404045723,6.0,,,lightgbm,22.0,under,,0.9020185998726034,COMPLETE,0 days 00:00:02.570446
26,0.7188699515749152,,0.5556020323535891,0.20393511511545498,5.0,,,lightgbm,27.0,under,,0.8935472364595597,COMPLETE,0 days 00:00:02.899443
27,0.7165714506425654,,0.540987136043213,0.20601116562265928,5.0,,,lightgbm,27.0,under,,0.7623561333102712,COMPLETE,0 days 00:00:02.719344
28,0.7141504101029178,,0.7036559140807181,0.19897639452944055,4.0,,,lightgbm,27.0,under,,0.7609677962924646,COMPLETE,0 days 00:00:02.698716
29,0.7150533282523154,,0.6962170737822764,0.19595996458078088,4.0,,,lightgbm,27.0,under,,0.5833215966646894,COMPLETE,0 days 00:00:02.665975
30,0.7144428212866641,,0.5653200608335527,0.13946095549765208,4.0,,,lightgbm,27.0,under,,0.5977284399848056,COMPLETE,0 days 00:00:04.214530
31,0.7153905745380819,,0.8096349303633906,0.12876354126501144,5.0,,,lightgbm,27.0,under,,0.7047475861540821,COMPLETE,0 days 00:00:04.530064
32,0.7184625286371724,,0.5582177952043678,0.1971419334738516,5.0,,,lightgbm,28.0,under,,0.7026479315544225,COMPLETE,0 days 00:00:03.307257
33,0.7174811776744923,,0.5582452651260368,0.25794115263087436,5.0,,,lightgbm,29.0,under,,0.9873772357442309,COMPLETE,0 days 00:00:03.054440
34,0.7174679174162694,,0.5699629500069445,0.19100777761940513,5.0,,,lightgbm,29.0,under,,0.6635625103575196,COMPLETE,0 days 00:00:02.762693
35,0.7149864301506622,,0.5548437295687367,0.27533658334400135,5.0,,,lightgbm,28.0,under,,0.9926653264937714,COMPLETE,0 days 00:00:02.689318
36,0.7156333828245244,,0.6665429850241174,0.2591198884328805,3.0,,,lightgbm,28.0,under,,0.9896132093388399,COMPLETE,0 days 00:00:02.583251
37,0.7127173979814035,,0.651048324979726,0.25677978962430875,3.0,,,lightgbm,25.0,under,,0.6821258741338148,COMPLETE,0 days 00:00:02.575138
38,0.7132281572409601,,0.5825953661113887,0.18489183798459444,4.0,,,lightgbm,25.0,under,,0.6622540482134472,COMPLETE,0 days 00:00:02.553181
39,0.7038793315005999,,0.5858781314150703,0.18811777254547302,4.0,,,lightgbm,10.0,under,,0.9376355069741051,COMPLETE,0 days 00:00:02.400764
40,0.7056313233744334,,0.5312865295140894,0.17675021388862136,5.0,,,lightgbm,10.0,under,,0.9416473983907588,COMPLETE,0 days 00:00:04.187514
41,0.7173595436361443,,0.5334993563050189,0.2381604444062574,5.0,,,lightgbm,29.0,under,,0.9358716755113725,COMPLETE,0 days 00:00:04.776231
42,0.7171359886068865,,0.5310150132753877,0.21196079862644515,5.0,,,lightgbm,29.0,under,,0.787478491538366,COMPLETE,0 days 00:00:03.084824
