number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.9016297743251332,,,,6.0,2.0,3.0,random_forest,10.0,,COMPLETE,0 days 00:00:05.830646
1,0.9022530965131392,,,,4.0,4.0,7.0,random_forest,25.0,,COMPLETE,0 days 00:00:07.476282
2,0.9229263324692818,,0.8438693972707003,0.14659819407152305,6.0,,,xgboost,27.0,0.6517399530440058,COMPLETE,0 days 00:00:13.492418
3,0.9114160704940582,,,,8.0,5.0,3.0,random_forest,18.0,,COMPLETE,0 days 00:00:08.299505
4,0.9072923024083464,,0.8018984869588933,0.0755784476530767,4.0,,,xgboost,24.0,0.5417723851958873,PRUNED,0 days 00:00:06.479279
5,0.9104091633451126,,,,8.0,1.0,5.0,random_forest,24.0,,PRUNED,0 days 00:00:07.416853
6,0.9022252842471689,,,,4.0,5.0,7.0,random_forest,22.0,,PRUNED,0 days 00:00:05.070682
7,0.8850582967271703,,,,3.0,1.0,2.0,random_forest,16.0,,PRUNED,0 days 00:00:03.546038
8,0.918092768681701,,0.821350610360827,0.09805103314113706,9.0,,,xgboost,30.0,0.7587968718171897,PRUNED,0 days 00:00:16.779911
9,0.9232364046994976,,0.855953041953571,0.26804608783988987,6.0,,,lightgbm,17.0,0.7069867672756989,COMPLETE,0 days 00:00:08.998890
10,0.8958511497976929,,,,3.0,2.0,8.0,random_forest,21.0,,PRUNED,0 days 00:00:03.812922
11,0.9206512665642531,,0.5260212454854095,0.27973200307994034,6.0,,,lightgbm,8.0,0.9423399080936036,COMPLETE,0 days 00:00:06.519200
12,0.9180775422760369,,0.9938390165509147,0.2983472914594384,6.0,,,lightgbm,12.0,0.6778278598712449,PRUNED,0 days 00:00:04.428374
13,0.9260493818938546,,0.5063906726847334,0.21854927858381323,7.0,,,lightgbm,29.0,0.9796285254675412,COMPLETE,0 days 00:00:09.970668
14,0.9084136408502173,2.8544801671846427,,,,,,svm,,,PRUNED,0 days 00:00:29.908357
15,0.9091387003116861,0.966385968429211,,,,,,svm,,,PRUNED,0 days 00:00:21.487131
16,0.9243184208043017,,0.5082961553640364,0.21646237718247363,7.0,,,lightgbm,15.0,0.9904835316932521,COMPLETE,0 days 00:00:08.687828
17,0.920164580178171,,0.50869911683816,0.2171764222095643,7.0,,,lightgbm,14.0,0.9617521723646506,PRUNED,0 days 00:00:06.405362
18,0.9200885266364776,,0.6497892345622922,0.20204006592520024,7.0,,,lightgbm,19.0,0.8082078802127584,PRUNED,0 days 00:00:04.878603
19,0.9174496492589608,,0.631444038498499,0.20411659023262999,8.0,,,lightgbm,5.0,0.8659754385364729,PRUNED,0 days 00:00:03.953553
20,0.9158176768209525,,0.6309654129181833,0.19973471686144356,9.0,,,lightgbm,6.0,0.8622231449371037,PRUNED,0 days 00:00:04.303276
21,0.917783609857418,,0.608194151822366,0.01892692036620386,7.0,,,lightgbm,30.0,0.9972697392954178,PRUNED,0 days 00:00:06.797441
22,0.919801108607911,,0.9414137998787588,0.2530494637414339,7.0,,,lightgbm,15.0,0.9652433385335651,PRUNED,0 days 00:00:06.510065
23,0.918812255592643,,0.9227011159121258,0.24202720543860523,5.0,,,lightgbm,14.0,0.6822201163867054,PRUNED,0 days 00:00:04.628202
24,0.9185686331020176,,0.7345246789945419,0.24598903928074273,5.0,,,lightgbm,13.0,0.6584094431792772,PRUNED,0 days 00:00:04.450971
25,0.922737566204777,,0.5734128387040334,0.1579879016362735,5.0,,,lightgbm,20.0,0.9017025804643811,COMPLETE,0 days 00:00:07.522496
26,0.9103974688376695,0.34210029135090014,,,,,,svm,,,PRUNED,0 days 00:00:16.229034
27,0.9119143013936714,0.12888006723771994,,,,,,svm,,,PRUNED,0 days 00:00:13.267784
28,0.918372808967317,,0.7226049224404846,0.16520521017623896,7.0,,,lightgbm,17.0,0.7531013781502716,PRUNED,0 days 00:00:06.460430
