number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.9129264922763968,2.8402086967467373,,,,,,svm,,,COMPLETE,0 days 00:00:51.517689
1,0.9129843951299614,2.58380781047552,,,,,,svm,,,COMPLETE,0 days 00:00:50.224643
2,0.9108905218293286,1.3863843463924213,,,,,,svm,,,PRUNED,0 days 00:00:22.434170
3,0.9241412110090653,,0.879389797532936,0.24824333110141725,6.0,,,lightgbm,20.0,0.5385494113869144,COMPLETE,0 days 00:00:07.532137
4,0.8879513922899761,,0.938544624543105,0.028714676400342705,8.0,,,xgboost,22.0,0.9167622318754323,PRUNED,0 days 00:00:11.648251
5,0.8707567774772262,,,,5.0,2.0,3.0,random_forest,7.0,,PRUNED,0 days 00:00:04.500167
6,0.9050254516434473,,0.7888992089682687,0.0693432061774948,4.0,,,xgboost,22.0,0.970410676047009,PRUNED,0 days 00:00:07.364187
7,0.845711967242034,,0.9249716272115809,0.07557181677500861,7.0,,,xgboost,6.0,0.7750182452200466,COMPLETE,0 days 00:00:08.836838
8,0.9245394609928929,,0.8708146883546443,0.20412759076484327,9.0,,,xgboost,28.0,0.6219559798683637,COMPLETE,0 days 00:00:19.367736
9,0.9017431408966814,,,,9.0,5.0,10.0,random_forest,21.0,,PRUNED,0 days 00:00:07.747733
10,0.9138733188517977,0.8952801822425175,,,,,,svm,,,COMPLETE,0 days 00:00:29.300832
11,0.925999863419145,,0.5637856121658475,0.2257448999128348,9.0,,,lightgbm,30.0,0.5434959491740345,COMPLETE,0 days 00:00:10.420059
12,0.9206923242590235,,0.5011854636283762,0.2255448686935203,9.0,,,lightgbm,30.0,0.5164481632612493,PRUNED,0 days 00:00:05.678437
13,0.9207526019886628,,0.5274651781976827,0.17785357824086567,8.0,,,lightgbm,30.0,0.6468136021950261,PRUNED,0 days 00:00:07.486521
