number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6707974336321832,,0.7536925791243285,0.1290351802532864,4.0,,,lightgbm,8.0,smote,8.0,0.8490337459283293,COMPLETE,0 days 00:00:12.989656
1,0.6660469993142427,,0.9437091984905368,0.19461481029961167,3.0,,,lightgbm,6.0,under,,0.8059310289556265,COMPLETE,0 days 00:00:01.379299
2,0.6866536893578514,,0.5250416479510893,0.12065222772033585,7.0,,,xgboost,6.0,over,,0.9361352488886036,COMPLETE,0 days 00:00:01.657548
3,0.6683745313104956,,,,8.0,1.0,8.0,random_forest,6.0,smote,10.0,,COMPLETE,0 days 00:00:13.607568
4,0.6843410105947901,,0.6817900252364186,0.08466547248432037,3.0,,,xgboost,26.0,over,,0.8322293142197994,COMPLETE,0 days 00:00:02.379015
5,0.6883499359019659,,,,8.0,3.0,10.0,random_forest,19.0,over,,,COMPLETE,0 days 00:00:02.224284
6,0.6751077636573801,,,,4.0,3.0,2.0,random_forest,28.0,smote,6.0,,COMPLETE,0 days 00:00:14.542791
7,0.6904708654894373,0.23850616026816884,,,,,,svm,,smote,5.0,,COMPLETE,0 days 00:00:21.356236
8,0.6858198293085955,2.3978464068103476,,,,,,svm,,over,,,COMPLETE,0 days 00:00:12.625893
9,0.6871247443275578,2.1135962002289146,,,,,,svm,,under,,,COMPLETE,0 days 00:00:08.339250
10,0.6874687241791451,,0.7736374201087501,0.07365166114625296,6.0,,,xgboost,6.0,over,,0.7737860408982311,COMPLETE,0 days 00:00:02.464475
11,0.6946328739917913,0.12067495126453907,,,,,,svm,,under,,,COMPLETE,0 days 00:00:04.426477
12,0.6881268517779017,0.4905761538712816,,,,,,svm,,smote,3.0,,COMPLETE,0 days 00:00:23.008181
13,0.6934138302772114,0.18138326432342733,,,,,,svm,,under,,,COMPLETE,0 days 00:00:04.104067
14,0.6939467187539271,0.15226990977134341,,,,,,svm,,under,,,COMPLETE,0 days 00:00:05.727884
15,0.688456847432391,0.9797241783368137,,,,,,svm,,under,,,COMPLETE,0 days 00:00:06.518028
16,0.6883122898766407,1.0474695664169782,,,,,,svm,,under,,,COMPLETE,0 days 00:00:06.780360
17,0.6879722831107501,1.241429960771657,,,,,,svm,,under,,,COMPLETE,0 days 00:00:09.201395
18,0.6886462928241137,0.9008446577379385,,,,,,svm,,under,,,COMPLETE,0 days 00:00:08.692212
19,0.7005453408323219,,0.988295660128522,0.28705570305279204,9.0,,,lightgbm,16.0,under,,0.5044268193697399,COMPLETE,0 days 00:00:01.708659
20,0.6994129410849349,,0.9928541452458644,0.28784268038671795,9.0,,,lightgbm,15.0,under,,0.5348464047545711,COMPLETE,0 days 00:00:01.557115
21,0.6991495712206275,,0.9506201381373376,0.29491963318671954,9.0,,,lightgbm,14.0,under,,0.5099670287646249,COMPLETE,0 days 00:00:01.398282
22,0.7014119983153982,,0.9740607091162875,0.29698602348260617,9.0,,,lightgbm,15.0,under,,0.5371578000286683,COMPLETE,0 days 00:00:01.427128
23,0.6998740277107163,,0.9977543162936664,0.29831539841915883,9.0,,,lightgbm,15.0,under,,0.5285568755453665,COMPLETE,0 days 00:00:01.417385
24,0.6988107518078671,,0.9991627081026628,0.2925192020369113,9.0,,,lightgbm,15.0,under,,0.5255753977758968,COMPLETE,0 days 00:00:01.421623
25,0.7012209290335757,,0.8778454563850375,0.24080743056669335,9.0,,,lightgbm,20.0,under,,0.6239099293964407,COMPLETE,0 days 00:00:01.447061
26,0.7012463272392875,,0.8703961137835293,0.2226312407349959,8.0,,,lightgbm,20.0,under,,0.6378388121796204,COMPLETE,0 days 00:00:01.459764
27,0.7005003138794006,,0.8680993304476472,0.2243693623589521,7.0,,,lightgbm,22.0,under,,0.6487692930074362,COMPLETE,0 days 00:00:01.496505
28,0.7011399374490369,,0.8694943243730862,0.21777332606916766,7.0,,,lightgbm,22.0,under,,0.6409405226123543,COMPLETE,0 days 00:00:01.522828
29,0.7001887229425531,,0.8644523242995638,0.2349423776674979,8.0,,,lightgbm,21.0,under,,0.6341729378094231,COMPLETE,0 days 00:00:01.998187
30,0.6994276493301276,,0.858546462487607,0.23816427428138232,8.0,,,lightgbm,11.0,under,,0.6387450159664553,COMPLETE,0 days 00:00:01.870353
31,0.6986328391515987,,0.8372362858873102,0.2552684439577749,8.0,,,lightgbm,11.0,smote,10.0,0.7134241581795708,COMPLETE,0 days 00:00:13.565592
32,0.7015882071150384,,0.8927771688273526,0.18860233973708965,7.0,,,lightgbm,23.0,under,,0.6952868311074515,COMPLETE,0 days 00:00:02.431482
33,0.700380392790705,,0.910629145191398,0.17584726206835827,6.0,,,lightgbm,19.0,under,,0.6996405525371605,COMPLETE,0 days 00:00:02.026986
34,0.7018224739424572,,0.8066305168419815,0.25375327550548454,8.0,,,lightgbm,25.0,under,,0.5855452312739949,COMPLETE,0 days 00:00:01.520353
35,0.7021367995266455,,0.8152091834427194,0.25725449622057833,7.0,,,lightgbm,25.0,smote,10.0,0.5818967793214291,COMPLETE,0 days 00:00:14.715290
36,0.7014302300042771,,0.798698939361155,0.19020831951721712,7.0,,,lightgbm,25.0,under,,0.5876305654530849,COMPLETE,0 days 00:00:02.167110
37,0.7024952211706502,,0.7983857285935209,0.16201962302159947,6.0,,,xgboost,25.0,over,,0.5853722235279342,COMPLETE,0 days 00:00:03.071094
38,0.7011367615452264,,0.7923615571777868,0.15491929005396513,6.0,,,xgboost,25.0,over,,0.5765007134882856,COMPLETE,0 days 00:00:02.118127
39,0.7021042461225524,,0.7054446478042455,0.15619713429960433,6.0,,,xgboost,30.0,over,,0.5840316386845671,COMPLETE,0 days 00:00:01.981494
40,0.6967359200172382,,0.7048837249272545,0.2598893727494213,5.0,,,xgboost,30.0,smote,8.0,0.5822120853740798,COMPLETE,0 days 00:00:15.221468
41,0.7019636034084676,,0.6968525285736251,0.15312298987234557,5.0,,,xgboost,30.0,over,,0.5810029266207049,COMPLETE,0 days 00:00:01.936969
42,0.6858207908034012,,0.681905853409328,0.018953379955667066,5.0,,,xgboost,30.0,over,,0.5817272378094541,COMPLETE,0 days 00:00:01.803301
43,0.7018901415158348,,0.6745082643706103,0.15294241684988982,5.0,,,xgboost,30.0,over,,0.5787914163221872,COMPLETE,0 days 00:00:01.982650
