number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6883332815811277,,0.8817344361148469,0.08697781170472353,8.0,,,xgboost,23.0,smote,3.0,0.6159168320692536,COMPLETE,0 days 00:00:16.933127
1,0.6907848072040464,1.69398467813158,,,,,,svm,,under,,,COMPLETE,0 days 00:00:06.161084
2,0.6823439678302353,,0.974927197716611,0.037330167561450356,5.0,,,xgboost,24.0,over,,0.7982651524601021,COMPLETE,0 days 00:00:02.299711
3,0.6946735904123097,,0.9958884490227685,0.2742249846803034,6.0,,,xgboost,14.0,over,,0.7381954459464763,COMPLETE,0 days 00:00:02.812944
4,0.6876386025389336,,0.7960443812344763,0.2508520267710273,5.0,,,lightgbm,8.0,smote,3.0,0.8411595685439963,COMPLETE,0 days 00:00:13.243742
5,0.688846577537546,,0.6527934829370138,0.1370725138971074,6.0,,,lightgbm,8.0,under,,0.9256154695644907,COMPLETE,0 days 00:00:01.435995
6,0.6906584920156787,1.8731364717700654,,,,,,svm,,under,,,COMPLETE,0 days 00:00:07.880801
7,0.6869562133751881,,0.8838247314928538,0.2238084967393354,4.0,,,xgboost,20.0,smote,9.0,0.7143724698256667,COMPLETE,0 days 00:00:14.405950
8,0.6841547498663365,,,,6.0,5.0,8.0,random_forest,17.0,over,,,COMPLETE,0 days 00:00:02.318141
9,0.6901397931856215,,0.6618818587734927,0.14380358599154766,6.0,,,xgboost,9.0,under,,0.9498426127299087,COMPLETE,0 days 00:00:01.239945
10,0.6999266882273453,,0.5797673440903416,0.2053708621917022,7.0,,,lightgbm,17.0,smote,10.0,0.8827484431985448,COMPLETE,0 days 00:00:13.945723
11,0.6873665980555689,,,,9.0,1.0,2.0,random_forest,15.0,over,,,COMPLETE,0 days 00:00:03.438518
12,0.6911656932357212,0.5321582014678399,,,,,,svm,,over,,,COMPLETE,0 days 00:00:08.618594
13,0.7010868695355642,,0.520199451460039,0.2870183502754003,8.0,,,lightgbm,29.0,smote,10.0,0.6847370270757936,COMPLETE,0 days 00:00:14.708017
14,0.7004832014940585,,0.5193138547356232,0.2994203792239774,8.0,,,lightgbm,30.0,smote,10.0,0.5041640639349658,COMPLETE,0 days 00:00:14.793804
15,0.7025535694323105,,0.5070352061819005,0.20555845513243068,8.0,,,lightgbm,30.0,smote,10.0,0.5289499269659935,COMPLETE,0 days 00:00:14.392036
16,0.7017191239373668,,0.5048050224330227,0.29883444694676203,9.0,,,lightgbm,30.0,smote,8.0,0.5050908921138832,COMPLETE,0 days 00:00:14.647335
17,0.7019213610660361,,0.5080570944602479,0.19640586353914483,9.0,,,lightgbm,28.0,smote,7.0,0.5198541932717161,COMPLETE,0 days 00:00:14.291295
18,0.7011006688592064,,0.6066180912804311,0.19346361147778218,9.0,,,lightgbm,26.0,smote,7.0,0.5115796366369598,COMPLETE,0 days 00:00:14.778838
19,0.7014311193437018,,0.6300142004056627,0.1930600487533832,9.0,,,lightgbm,26.0,smote,6.0,0.6079005149045644,COMPLETE,0 days 00:00:13.919550
20,0.6955039262118943,,0.7275378787666115,0.1716216305978888,3.0,,,lightgbm,27.0,smote,5.0,0.6073344458998531,COMPLETE,0 days 00:00:13.996144
21,0.685671059526335,,,,7.0,3.0,10.0,random_forest,21.0,smote,5.0,,COMPLETE,0 days 00:00:13.376442
22,0.701538323085543,,0.505855459390737,0.24155188703995603,8.0,,,lightgbm,30.0,smote,8.0,0.5521495917465671,COMPLETE,0 days 00:00:14.491023
23,0.701143226342151,,0.5173746955856464,0.10403678587057391,9.0,,,lightgbm,30.0,smote,8.0,0.5523810836722025,COMPLETE,0 days 00:00:14.705034
24,0.7003941794800713,,0.5678612234393244,0.11302424587953112,9.0,,,lightgbm,28.0,smote,8.0,0.5623941887876441,COMPLETE,0 days 00:00:14.839063
25,0.6977994204181338,,0.5739241976931768,0.25212552530753984,7.0,,,lightgbm,27.0,smote,8.0,0.5573236864196037,COMPLETE,0 days 00:00:14.547486
26,0.7002594532118463,,0.562627468614439,0.2502879292649129,7.0,,,lightgbm,24.0,smote,7.0,0.6679315949097268,COMPLETE,0 days 00:00:14.594661
27,0.7003265571055134,,0.713469951010026,0.16952302933554078,8.0,,,lightgbm,25.0,smote,7.0,0.6591425289178279,COMPLETE,0 days 00:00:14.587477
28,0.6997431115423738,,0.7189479462557097,0.1690120882235933,8.0,,,lightgbm,21.0,smote,9.0,0.50386119518192,COMPLETE,0 days 00:00:13.743940
29,0.6914414148796668,,,,9.0,1.0,3.0,random_forest,28.0,under,,,COMPLETE,0 days 00:00:03.102803
30,0.6875974793410201,2.9579196137333224,,,,,,svm,,smote,9.0,,COMPLETE,0 days 00:00:29.250662
31,0.6876079447929438,2.919844106161724,,,,,,svm,,smote,9.0,,COMPLETE,0 days 00:00:28.416997
32,0.7009213938954669,,0.5035190601208026,0.22354126637002458,8.0,,,lightgbm,30.0,smote,6.0,0.5554847259320526,COMPLETE,0 days 00:00:14.767733
33,0.7018637706164951,,0.5019479928479161,0.22006975926320008,8.0,,,lightgbm,30.0,smote,6.0,0.5561467361617171,COMPLETE,0 days 00:00:14.332579
34,0.7013507871910507,,0.5006865158482607,0.2279844472282369,9.0,,,lightgbm,30.0,smote,8.0,0.5862024605081643,COMPLETE,0 days 00:00:14.588985
35,0.7017554316417255,,0.5456061442584538,0.2232639412557802,9.0,,,lightgbm,28.0,smote,5.0,0.598052741303364,COMPLETE,0 days 00:00:14.335911
36,0.6725159307144715,,0.5500659912537342,0.20477261411984124,8.0,,,xgboost,5.0,smote,5.0,0.5014471466020924,COMPLETE,0 days 00:00:14.000355
37,0.6967106627010806,,0.5517307542670884,0.2061779184951328,7.0,,,xgboost,22.0,over,,0.6465295187654104,COMPLETE,0 days 00:00:02.407646
38,0.7007132026159012,,0.6065669347910752,0.19208310026272624,8.0,,,lightgbm,24.0,under,,0.6252274289450641,COMPLETE,0 days 00:00:02.382916
39,0.7010848315074608,,0.5540973507684944,0.26906493460582365,8.0,,,lightgbm,28.0,smote,5.0,0.583192174416645,COMPLETE,0 days 00:00:14.022547
40,0.7010311764677691,,0.5471701605055946,0.2726783821225976,5.0,,,lightgbm,28.0,under,,0.589426528437403,COMPLETE,0 days 00:00:01.402495
41,0.7005014781314269,,0.6008147841783652,0.22118972492732591,9.0,,,lightgbm,26.0,over,,0.5351560942968064,COMPLETE,0 days 00:00:01.902754
42,0.700971868070027,,0.5357393711391027,0.2652254419335192,9.0,,,lightgbm,28.0,smote,6.0,0.5852835085267295,COMPLETE,0 days 00:00:14.641395
43,0.7022473434808184,,0.5352701323738596,0.1814578413588388,9.0,,,lightgbm,28.0,smote,6.0,0.5359093167995804,COMPLETE,0 days 00:00:14.445343
44,0.6957685070069002,,0.8554301028753116,0.06925088430553815,9.0,,,lightgbm,25.0,smote,4.0,0.531912792325886,COMPLETE,0 days 00:00:14.426325
45,0.7013410300770957,,0.8435791964021645,0.1802288567324479,9.0,,,lightgbm,24.0,smote,6.0,0.784169698114525,COMPLETE,0 days 00:00:14.278108
46,0.6858847651955559,,,,9.0,5.0,5.0,random_forest,11.0,smote,4.0,,COMPLETE,0 days 00:00:13.446122
47,0.6878006920013032,,,,7.0,5.0,5.0,random_forest,19.0,smote,4.0,,COMPLETE,0 days 00:00:14.324437
48,0.6930863752368138,0.2535107822118339,,,,,,svm,,over,,,COMPLETE,0 days 00:00:07.339832
49,0.6925857929661251,0.30342450774534124,,,,,,svm,,over,,,COMPLETE,0 days 00:00:06.932996
