number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6848181075765445,1.1430389975685422,,,,,,svm,,under,,,COMPLETE,0 days 00:00:06.200241
1,0.6902991826019099,,0.9254555648784537,0.13379308850621943,8.0,,,xgboost,20.0,over,,0.5554172313484238,COMPLETE,0 days 00:00:03.534257
2,0.6790364749586065,,0.8235912885936457,0.20898630549972888,4.0,,,xgboost,8.0,over,,0.6885796854322976,COMPLETE,0 days 00:00:01.481502
3,0.6393065607784961,,,,4.0,4.0,2.0,random_forest,6.0,over,,,COMPLETE,0 days 00:00:01.401417
4,0.6855243417362296,,0.7458696795033393,0.20935057838806814,7.0,,,xgboost,9.0,under,,0.7277848012183161,COMPLETE,0 days 00:00:01.365916
5,0.694690689361028,,0.8360504582405791,0.15210008628607044,9.0,,,lightgbm,21.0,over,,0.963077350028362,COMPLETE,0 days 00:00:01.690246
6,0.6720247938694714,,0.8614731444233485,0.03649825983476787,5.0,,,lightgbm,26.0,smote,6.0,0.5237134872783276,COMPLETE,0 days 00:00:14.522651
7,0.6802395966192818,,0.9640694782820802,0.12870168028529758,3.0,,,lightgbm,22.0,smote,6.0,0.9759233270080824,COMPLETE,0 days 00:00:14.921537
8,0.6335898423438943,,0.8610454966239285,0.08139842262498306,4.0,,,xgboost,12.0,smote,9.0,0.5752108198897079,COMPLETE,0 days 00:00:13.923479
9,0.6577326503336299,,0.922198614306849,0.12345279586061823,5.0,,,xgboost,16.0,smote,9.0,0.9899777671847556,COMPLETE,0 days 00:00:15.012587
10,0.6842972497989583,0.9260178528823341,,,,,,svm,,over,,,COMPLETE,0 days 00:00:11.438690
11,0.6932533182645355,,0.5805482216728117,0.2798853617628923,9.0,,,lightgbm,29.0,over,,0.843198334344637,COMPLETE,0 days 00:00:01.982288
12,0.6940501000201529,,0.5585086708529825,0.29721186484090273,9.0,,,lightgbm,30.0,over,,0.8748540354198842,COMPLETE,0 days 00:00:02.395405
13,0.6951507601885787,,0.5244637267526348,0.29686282929792046,9.0,,,lightgbm,30.0,over,,0.8725733464452329,COMPLETE,0 days 00:00:03.012133
14,0.6942763947539069,,0.6771104717945502,0.19472555699499466,7.0,,,lightgbm,24.0,over,,0.8800460619991572,COMPLETE,0 days 00:00:02.217983
15,0.6941162741480067,,0.6857699708925069,0.2044035998830016,7.0,,,lightgbm,25.0,over,,0.8826628136849132,COMPLETE,0 days 00:00:01.582615
16,0.6795337887799743,,,,8.0,1.0,10.0,random_forest,16.0,over,,,COMPLETE,0 days 00:00:01.964121
17,0.6831982441184666,,,,9.0,1.0,10.0,random_forest,18.0,under,,,COMPLETE,0 days 00:00:02.392435
18,0.6967378061141055,,0.6319552723083622,0.2625329984277334,9.0,,,lightgbm,19.0,under,,0.7996501686493179,COMPLETE,0 days 00:00:01.356211
19,0.695374813169813,,0.5012092317794236,0.2569849943250746,8.0,,,lightgbm,13.0,under,,0.7929057933421677,COMPLETE,0 days 00:00:01.319248
20,0.6936720008132422,,0.5101294394047742,0.25816340603240107,8.0,,,lightgbm,13.0,under,,0.7995748095887301,COMPLETE,0 days 00:00:01.379974
21,0.6835655032626212,2.991215366399665,,,,,,svm,,under,,,COMPLETE,0 days 00:00:07.674620
22,0.6946799023247489,,0.6108718632646011,0.25166955251047796,8.0,,,lightgbm,13.0,under,,0.7790672338027137,COMPLETE,0 days 00:00:01.455517
23,0.692395951447249,,0.5198007837613507,0.24700545009061428,9.0,,,lightgbm,10.0,under,,0.6684336329346305,COMPLETE,0 days 00:00:01.497521
24,0.6836276311228424,2.7876740405912113,,,,,,svm,,under,,,COMPLETE,0 days 00:00:08.481686
25,0.6955132319150547,,0.6347372972352975,0.299946027149363,8.0,,,lightgbm,27.0,under,,0.8172951572883774,COMPLETE,0 days 00:00:02.483763
26,0.6944818685344473,,0.6539331186730832,0.232163371884384,6.0,,,lightgbm,17.0,under,,0.812736884258973,COMPLETE,0 days 00:00:01.411515
27,0.694618519979875,,0.6240787989907036,0.2724915241293367,7.0,,,lightgbm,27.0,under,,0.7110332282061813,COMPLETE,0 days 00:00:01.552281
28,0.6944037277172453,,0.7430970426780583,0.2709990535746629,7.0,,,lightgbm,19.0,under,,0.7047353490830055,COMPLETE,0 days 00:00:01.425252
29,0.6944621944798737,,0.7492494635820705,0.17282487276398117,8.0,,,lightgbm,19.0,under,,0.7536116349406642,COMPLETE,0 days 00:00:01.325018
30,0.6847801643098278,,,,8.0,5.0,2.0,random_forest,23.0,under,,,COMPLETE,0 days 00:00:02.558426
31,0.6748868567180559,,,,6.0,5.0,4.0,random_forest,23.0,under,,,COMPLETE,0 days 00:00:02.015958
32,0.6943515003072337,,0.5504467253292271,0.2980562590367225,9.0,,,lightgbm,27.0,under,,0.8358537442995437,COMPLETE,0 days 00:00:01.400886
33,0.6945091240389827,,0.5587269400520634,0.29721779930841674,9.0,,,lightgbm,28.0,under,,0.9159852764648748,COMPLETE,0 days 00:00:01.719235
34,0.6942456309271631,,0.5043153614579003,0.29959216176567083,9.0,,,lightgbm,28.0,under,,0.9273819953075368,COMPLETE,0 days 00:00:01.705817
35,0.6965309327270885,,0.5094876184356392,0.24231098847163735,8.0,,,lightgbm,30.0,under,,0.7665792243710712,COMPLETE,0 days 00:00:01.616341
36,0.6863181312541355,0.24223228835284272,,,,,,svm,,smote,3.0,,COMPLETE,0 days 00:00:22.178619
37,0.6904080632581776,0.14190482898707657,,,,,,svm,,under,,,COMPLETE,0 days 00:00:07.102450
38,0.6880698115904563,,0.600709682423423,0.229895009017358,8.0,,,xgboost,14.0,under,,0.6506029591243708,COMPLETE,0 days 00:00:01.773492
39,0.6846429332796066,,0.6459220697095642,0.22976525089083422,8.0,,,lightgbm,6.0,under,,0.7636467196305694,COMPLETE,0 days 00:00:01.288320
40,0.6906618060141062,,0.6900592265887264,0.25934871289269135,8.0,,,lightgbm,11.0,smote,3.0,0.8000804675798651,COMPLETE,0 days 00:00:14.280012
41,0.6929095264156514,,0.6997523829869317,0.2638324779324701,8.0,,,lightgbm,11.0,under,,0.800600298279422,COMPLETE,0 days 00:00:01.572624
42,0.6924888434497718,,0.5315389034041554,0.2789008660354185,8.0,,,lightgbm,29.0,over,,0.8415002940266391,COMPLETE,0 days 00:00:01.900542
