number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6912766054972073,0.8709677191789444,,,,,,svm,,under,,,COMPLETE,0 days 00:00:10.276284
1,0.6881916458325282,2.5099674794745455,,,,,,svm,,smote,6.0,,COMPLETE,0 days 00:00:35.455491
2,0.6942110260359825,0.28584080198040385,,,,,,svm,,under,,,COMPLETE,0 days 00:00:05.633453
3,0.6879196178519815,2.6405208653291967,,,,,,svm,,smote,9.0,,COMPLETE,0 days 00:00:30.255345
4,0.6947425861896369,,,,9.0,3.0,10.0,random_forest,30.0,under,,,COMPLETE,0 days 00:00:03.615162
5,0.6891483624950184,1.344620828467124,,,,,,svm,,over,,,COMPLETE,0 days 00:00:11.350197
6,0.7007824130126186,,0.8423857396154761,0.17993278383724423,6.0,,,xgboost,29.0,over,,0.9957609333252591,COMPLETE,0 days 00:00:02.184656
7,0.6905912077790952,1.232194893098132,,,,,,svm,,under,,,COMPLETE,0 days 00:00:06.735195
8,0.6908223362539111,,0.9053523085273928,0.16701710256174523,8.0,,,xgboost,9.0,under,,0.8352397160306126,COMPLETE,0 days 00:00:01.718275
9,0.6995854266439744,,0.6813963303979956,0.2500441012668097,5.0,,,xgboost,14.0,over,,0.9886465088411007,COMPLETE,0 days 00:00:02.130203
10,0.690141714089281,0.7471796007312778,,,,,,svm,,smote,6.0,,COMPLETE,0 days 00:00:23.148164
11,0.66179279293948,,0.9286026192140607,0.016755343562168734,3.0,,,lightgbm,30.0,over,,0.5559876273342825,COMPLETE,0 days 00:00:02.432487
12,0.7002427627912108,,0.6513502193135995,0.2941559888594387,5.0,,,xgboost,15.0,over,,0.9963353949253981,COMPLETE,0 days 00:00:01.893342
13,0.7004599861774802,,0.5063429963085485,0.2943031872281624,6.0,,,xgboost,20.0,over,,0.9771082108418891,COMPLETE,0 days 00:00:01.665519
14,0.7006660049807727,,0.5152073175185615,0.18381875445281248,7.0,,,xgboost,23.0,over,,0.8320202107606671,COMPLETE,0 days 00:00:02.009783
15,0.6976245448170614,,0.8069099095631517,0.16222236897165054,7.0,,,xgboost,23.0,over,,0.7656895082463447,COMPLETE,0 days 00:00:02.189072
16,0.6902237799976052,,,,7.0,5.0,2.0,random_forest,25.0,over,,,COMPLETE,0 days 00:00:02.130730
17,0.7018963137797115,,0.5164625745121881,0.10854034454153919,6.0,,,lightgbm,25.0,over,,0.8631181128735809,COMPLETE,0 days 00:00:02.493054
18,0.6914323911627753,,0.8014505616632257,0.0839653850061498,4.0,,,lightgbm,27.0,smote,3.0,0.8819080428581481,COMPLETE,0 days 00:00:14.067810
19,0.6897540136693814,,0.8016289056043768,0.06048481353282249,4.0,,,lightgbm,27.0,over,,0.875245021794525,COMPLETE,0 days 00:00:01.886751
20,0.6995727367845515,,0.6296484662463702,0.09483696375840628,6.0,,,lightgbm,19.0,over,,0.593687372405258,COMPLETE,0 days 00:00:01.463946
