number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.8977140013778134,,,,4.0,3.0,5.0,random_forest,30.0,,COMPLETE,0 days 00:00:13.025268
1,0.9026772145352083,1.3978830459969083,,,,,,svm,,,COMPLETE,0 days 00:00:36.421830
2,0.9003882098003929,,,,8.0,1.0,10.0,random_forest,20.0,,COMPLETE,0 days 00:00:13.604747
3,0.9069509252423614,,0.6397507980168233,0.10621200640623486,8.0,,,xgboost,20.0,0.9813236629003621,COMPLETE,0 days 00:00:19.780492
4,0.9023605279993215,2.513861629880439,,,,,,svm,,,COMPLETE,0 days 00:00:42.149035
5,0.8901168307242395,,,,3.0,4.0,5.0,random_forest,23.0,,COMPLETE,0 days 00:00:12.338272
6,0.8349680290567575,,,,3.0,3.0,2.0,random_forest,9.0,,COMPLETE,0 days 00:00:11.683389
7,0.9023118990486937,2.7923862418143184,,,,,,svm,,,COMPLETE,0 days 00:00:46.527508
8,0.9036119225190004,0.45496658474620133,,,,,,svm,,,COMPLETE,0 days 00:00:29.172966
9,0.9084138684970625,,0.7442599886689609,0.10202287550101406,7.0,,,lightgbm,19.0,0.7224225879637827,COMPLETE,0 days 00:00:14.138979
10,0.9033831022358818,,0.9784813231032832,0.06661696393603693,6.0,,,xgboost,30.0,0.9179313157245882,COMPLETE,0 days 00:00:20.799533
11,0.90264688090697,,0.9238503787978867,0.01153547312118576,6.0,,,lightgbm,9.0,0.5976677595981923,COMPLETE,0 days 00:00:13.590799
12,0.9062734695388649,,0.6171219991615386,0.12561988108918662,9.0,,,xgboost,17.0,0.953962859851098,COMPLETE,0 days 00:00:16.888143
13,0.9066553363489508,,0.606847063527071,0.1768458318484043,9.0,,,xgboost,16.0,0.7789095560248797,COMPLETE,0 days 00:00:16.542962
14,0.9088899201418393,,0.6801690550705002,0.23680601057648898,7.0,,,lightgbm,16.0,0.7350423326094437,COMPLETE,0 days 00:00:13.071424
