number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.6993743765631283,,0.6600194177115927,0.27758919417045524,3.0,,,xgboost,21.0,0.9927507222330925,COMPLETE,0 days 00:00:25.608531
1,0.7093712424840781,,0.7900085381205055,0.2811466046210773,9.0,,,lightgbm,25.0,0.7671717276647886,COMPLETE,0 days 00:00:26.034668
2,0.6952967867225422,0.27683149117349937,,,,,,svm,,,COMPLETE,0 days 00:01:09.899241
3,0.6996882917500287,,0.5206798095933967,0.05949862118430788,7.0,,,xgboost,19.0,0.960018558250048,COMPLETE,0 days 00:00:29.988242
4,0.700127052076931,,0.9019672996489789,0.18349934868804688,5.0,,,lightgbm,12.0,0.5623321634453197,COMPLETE,0 days 00:00:23.248569
5,0.6705169746523788,,,,4.0,2.0,9.0,random_forest,20.0,,COMPLETE,0 days 00:00:22.551008
6,0.6818136888445742,,,,7.0,4.0,4.0,random_forest,21.0,,COMPLETE,0 days 00:00:23.220690
7,0.6956656371395528,0.2397411578777039,,,,,,svm,,,COMPLETE,0 days 00:01:14.870477
8,0.6920800140584712,1.4143522495799492,,,,,,svm,,,COMPLETE,0 days 00:01:45.717661
9,0.63488472708458,,,,3.0,2.0,2.0,random_forest,6.0,,COMPLETE,0 days 00:00:20.886515
10,0.6916337101877102,,0.7102519243080527,0.20807691994735888,7.0,,,xgboost,5.0,0.6595073863467342,COMPLETE,0 days 00:00:25.453783
11,0.7068690304260735,,0.9504288414099611,0.2938306326170832,9.0,,,lightgbm,30.0,0.7989363706628436,COMPLETE,0 days 00:00:25.983732
12,0.7078363403177996,,0.9586621653293831,0.29567991272386174,9.0,,,lightgbm,29.0,0.5059566762594301,COMPLETE,0 days 00:00:25.092313
13,0.7084000880907491,,0.9973373747410774,0.29739110627967635,9.0,,,lightgbm,30.0,0.7984631317339713,COMPLETE,0 days 00:00:26.024510
14,0.7069232358502742,,0.8290292428186198,0.2939340467322085,9.0,,,lightgbm,30.0,0.7773095532843007,COMPLETE,0 days 00:00:26.195806
15,0.709113931386438,,0.8193335185395436,0.22295748902292462,9.0,,,lightgbm,26.0,0.7898178427908438,COMPLETE,0 days 00:00:26.532800
16,0.7108187388113266,,0.8215326060039783,0.2191838526364053,8.0,,,lightgbm,25.0,0.8587166611717187,COMPLETE,0 days 00:00:25.888264
17,0.708660256725417,,0.7840197704157349,0.11626858270828662,8.0,,,lightgbm,25.0,0.8740280644411612,COMPLETE,0 days 00:00:25.250548
18,0.710630401029864,,0.7816129892399514,0.133688912651681,8.0,,,lightgbm,26.0,0.8973743730393444,COMPLETE,0 days 00:00:25.306786
19,0.7071535111132068,,0.6593066100263898,0.22854926490860147,6.0,,,lightgbm,15.0,0.6620604092219494,COMPLETE,0 days 00:00:23.599710
20,0.7039217572531656,,0.6585973319276344,0.14748479569487777,6.0,,,lightgbm,15.0,0.8978461104408166,COMPLETE,0 days 00:00:23.238279
21,0.7036807597113084,,0.8874918436219208,0.07876824455087658,8.0,,,lightgbm,23.0,0.9203088745006631,COMPLETE,0 days 00:00:25.176520
22,0.7074709253464473,,0.8568256937838544,0.10866566139490963,8.0,,,lightgbm,24.0,0.8755887948837204,COMPLETE,0 days 00:00:25.234919
23,0.6930901159289018,,0.7497253906876076,0.016604377854221808,8.0,,,lightgbm,26.0,0.8606293265274849,COMPLETE,0 days 00:00:25.606602
24,0.7105906482385151,,0.7509422871007326,0.24621761205024795,8.0,,,lightgbm,27.0,0.7104145266511364,COMPLETE,0 days 00:00:25.031647
25,0.6922166638299229,,0.7139706963751294,0.012122321383827198,8.0,,,lightgbm,27.0,0.6844055706666586,COMPLETE,0 days 00:00:26.635556
26,0.7094064734694907,,0.7269455528775648,0.24460829559204283,7.0,,,lightgbm,28.0,0.7023069176910358,COMPLETE,0 days 00:00:25.941438
27,0.6913757322493231,2.9309618759259535,,,,,,svm,,,COMPLETE,0 days 00:01:59.906793
28,0.6772153071681513,,,,5.0,5.0,10.0,random_forest,23.0,,COMPLETE,0 days 00:00:22.023340
29,0.7031734412043039,,0.5946727039335777,0.17046501165153638,6.0,,,xgboost,17.0,0.8349999927992388,COMPLETE,0 days 00:00:27.678221
