number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.6435984644328628,,,,6.0,3.0,2.0,random_forest,27.0,,COMPLETE,0 days 00:00:04.198521
1,0.6449008035873651,2.186366887634112,,,,,,svm,,,COMPLETE,0 days 00:00:05.025407
2,0.6477972946922579,,0.9473577772857449,0.15549906179932532,7.0,,,xgboost,11.0,0.6261889128396522,COMPLETE,0 days 00:00:04.302089
3,0.6420781128616433,,,,8.0,3.0,8.0,random_forest,7.0,,COMPLETE,0 days 00:00:02.628624
4,0.6383187792492598,,,,6.0,2.0,4.0,random_forest,6.0,,COMPLETE,0 days 00:00:02.582633
5,0.6473446110764792,,0.8184958115155283,0.2840035872493389,4.0,,,lightgbm,6.0,0.8794793069017096,COMPLETE,0 days 00:00:02.227897
6,0.6495581473529493,,0.9102522116562791,0.16246749860784476,3.0,,,lightgbm,27.0,0.9988184766536056,COMPLETE,0 days 00:00:03.099270
7,0.6331638474159609,,,,5.0,4.0,9.0,random_forest,7.0,,COMPLETE,0 days 00:00:02.214218
8,0.6449014405270871,1.0210432661885536,,,,,,svm,,,COMPLETE,0 days 00:00:05.187482
9,0.6434120881355184,,0.9962830843515209,0.24151861961046683,3.0,,,xgboost,11.0,0.6038906782091016,COMPLETE,0 days 00:00:03.346248
10,0.6383759274748131,,,,5.0,4.0,8.0,random_forest,20.0,,COMPLETE,0 days 00:00:02.689987
11,0.6378515283973244,,0.5225174619503636,0.017611066693586086,3.0,,,lightgbm,30.0,0.9933026616397629,COMPLETE,0 days 00:00:02.972912
12,0.6492663205792476,,0.9387911256239957,0.09089720785714246,8.0,,,xgboost,30.0,0.6305842810723122,COMPLETE,0 days 00:00:08.554399
13,0.6465446681707804,,0.9468857668651974,0.14561415271726152,8.0,,,xgboost,15.0,0.6104984755438816,COMPLETE,0 days 00:00:05.014907
14,0.6441080399132586,,0.8330009491378191,0.14097478579234018,9.0,,,xgboost,22.0,0.7467041470272544,COMPLETE,0 days 00:00:08.797437
15,0.650774106261257,,0.7806824957438382,0.09102943355152518,9.0,,,lightgbm,24.0,0.8123445178773597,COMPLETE,0 days 00:00:03.593318
16,0.6518818697450048,,0.7576961264101794,0.11983875577320849,9.0,,,lightgbm,23.0,0.8266830887447429,COMPLETE,0 days 00:00:03.314152
17,0.6502878759576518,,0.69044881436303,0.07396293157363824,9.0,,,lightgbm,21.0,0.7880837803139621,COMPLETE,0 days 00:00:03.207362
18,0.6510634837898341,,0.6463480625274926,0.06756802278793822,9.0,,,lightgbm,23.0,0.8000807067024783,COMPLETE,0 days 00:00:03.393956
19,0.6508548141953894,,0.6821576071392713,0.07636270032613673,9.0,,,lightgbm,25.0,0.8211955397483027,COMPLETE,0 days 00:00:04.253268
20,0.6451377767395213,,0.6633516595803621,0.015003931509050793,7.0,,,lightgbm,16.0,0.8993734243619309,COMPLETE,0 days 00:00:04.221343
21,0.6466354170415555,,0.5790168278819019,0.019287258147006096,7.0,,,lightgbm,17.0,0.7299664451370759,COMPLETE,0 days 00:00:02.982528
22,0.6514778284733725,,0.6195550576802122,0.06869337967713607,9.0,,,lightgbm,25.0,0.7222672472129785,COMPLETE,0 days 00:00:03.444419
23,0.6509401864385457,,0.693767006670546,0.0686721086556217,9.0,,,lightgbm,25.0,0.8525311887759268,COMPLETE,0 days 00:00:03.446794
24,0.6508339339634365,,0.5919134308342937,0.05277748399948073,8.0,,,lightgbm,24.0,0.6933231748110109,COMPLETE,0 days 00:00:03.272849
25,0.6516413140254039,,0.6166289070784678,0.11653725255003677,8.0,,,lightgbm,19.0,0.7080809786317586,COMPLETE,0 days 00:00:03.433921
26,0.6449134208300086,0.24793584317851303,,,,,,svm,,,COMPLETE,0 days 00:00:04.811707
27,0.644919722192036,0.17277949659077319,,,,,,svm,,,COMPLETE,0 days 00:00:04.992394
28,0.65153002245592,,0.7478055374822978,0.12202854620984883,8.0,,,lightgbm,19.0,0.6840798646233628,COMPLETE,0 days 00:00:03.172336
29,0.651128876686955,,0.7391720043119472,0.12207125241797613,8.0,,,lightgbm,18.0,0.691031758886484,COMPLETE,0 days 00:00:02.951167
30,0.6506599224848705,,0.7645182756329556,0.11756946712216393,7.0,,,lightgbm,19.0,0.502999667531326,COMPLETE,0 days 00:00:03.144156
31,0.6509159932775774,,0.7292402399876898,0.2020141438548002,7.0,,,lightgbm,19.0,0.5218561921834342,COMPLETE,0 days 00:00:03.021071
32,0.6520018603822169,,0.599861993930069,0.18869413910491262,8.0,,,lightgbm,21.0,0.6757056768465332,COMPLETE,0 days 00:00:03.152694
33,0.6503335419358378,,0.6138485389745622,0.10954926361158644,8.0,,,lightgbm,13.0,0.6874635594409586,COMPLETE,0 days 00:00:03.679613
34,0.6510932698031485,,0.5372928361573276,0.17165095708229716,8.0,,,lightgbm,13.0,0.6712503077868941,COMPLETE,0 days 00:00:03.651039
35,0.652245909776306,,0.5371750300465244,0.1856852813037392,6.0,,,lightgbm,21.0,0.6693164208848487,COMPLETE,0 days 00:00:02.956523
36,0.650297710534375,,0.840615220033774,0.19176777206118065,6.0,,,lightgbm,21.0,0.5656864382290048,COMPLETE,0 days 00:00:03.120560
37,0.6449001174352654,2.799942743125304,,,,,,svm,,,COMPLETE,0 days 00:00:04.008996
38,0.6437947883204165,,,,6.0,1.0,5.0,random_forest,28.0,,COMPLETE,0 days 00:00:03.083869
39,0.6449005551371445,2.738481643253834,,,,,,svm,,,COMPLETE,0 days 00:00:04.462586
40,0.6515991229325598,,0.558481364871072,0.202898292473974,5.0,,,lightgbm,22.0,0.7681086147515125,COMPLETE,0 days 00:00:03.388132
41,0.6430969979273841,,,,6.0,5.0,10.0,random_forest,17.0,,COMPLETE,0 days 00:00:03.662505
42,0.6516712909723344,,0.5507666170698773,0.21137045398488752,5.0,,,lightgbm,22.0,0.7796823117512437,COMPLETE,0 days 00:00:03.827293
43,0.6523684220251524,,0.562712268244679,0.21736716021674868,5.0,,,lightgbm,22.0,0.7669718139884725,COMPLETE,0 days 00:00:03.190366
44,0.6518440521987016,,0.5209747646450791,0.2436220590440488,4.0,,,lightgbm,21.0,0.6481049658809981,COMPLETE,0 days 00:00:02.887025
45,0.6525402083917363,,0.5107463723439468,0.2288529605265045,4.0,,,lightgbm,22.0,0.6451250200020495,COMPLETE,0 days 00:00:03.064807
46,0.6519975159412779,,0.5066595794509675,0.23697501028380621,4.0,,,lightgbm,21.0,0.636020759815562,COMPLETE,0 days 00:00:03.011884
47,0.6525602339111743,,0.5126806147788966,0.229906142134986,4.0,,,xgboost,27.0,0.573447634018734,COMPLETE,0 days 00:00:03.815133
48,0.6523034100559668,,0.5124787091863944,0.24087682437182392,4.0,,,xgboost,26.0,0.5804737793033687,COMPLETE,0 days 00:00:04.016147
49,0.6522088671818899,,0.5677071603602672,0.27148184835749434,4.0,,,xgboost,28.0,0.5732718444651345,COMPLETE,0 days 00:00:02.726255
