number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.909715782075323,,0.8118407929254006,0.10957552146353261,7.0,,,lightgbm,21.0,0.561284412295517,COMPLETE,0 days 00:00:14.417553
1,0.9050944553654795,,0.9678075313272447,0.11757752695697711,3.0,,,lightgbm,21.0,0.8708387756191605,COMPLETE,0 days 00:00:12.996966
2,0.9090231965187434,,0.8461705930952055,0.2772840968398591,6.0,,,xgboost,22.0,0.5820512225014624,COMPLETE,0 days 00:00:14.747542
3,0.9045771901544036,,0.7790386997778724,0.2491240178737378,5.0,,,xgboost,12.0,0.9313646695055404,COMPLETE,0 days 00:00:13.770112
4,0.9022413404402467,1.955698551411743,,,,,,svm,,,COMPLETE,0 days 00:00:40.474005
5,0.9025783160289106,1.1676885568445676,,,,,,svm,,,COMPLETE,0 days 00:00:34.600096
6,0.904283397216581,,0.716729017960396,0.2444310001157883,7.0,,,xgboost,8.0,0.8793288436735109,COMPLETE,0 days 00:00:13.364551
7,0.892344320464966,,,,7.0,5.0,5.0,random_forest,12.0,,COMPLETE,0 days 00:00:12.522553
8,0.9001149897778399,,,,8.0,5.0,2.0,random_forest,13.0,,COMPLETE,0 days 00:00:11.723176
9,0.9038186504828875,,,,8.0,4.0,9.0,random_forest,27.0,,COMPLETE,0 days 00:00:14.206789
10,0.9068811530039236,,0.931743362472226,0.11372020449093104,9.0,,,lightgbm,10.0,0.8111915849192584,COMPLETE,0 days 00:00:11.749573
11,0.9086798271551205,,0.5928532873696297,0.018100386134068863,9.0,,,lightgbm,27.0,0.510458269631061,COMPLETE,0 days 00:00:13.937591
12,0.9011613786171733,,0.8191527003082495,0.026895726868359282,5.0,,,xgboost,22.0,0.5402225581378621,COMPLETE,0 days 00:00:14.074372
13,0.9074158242780581,,0.827975956121321,0.17808451004344694,5.0,,,xgboost,20.0,0.5722562604347199,COMPLETE,0 days 00:00:14.082423
14,0.9079438641379438,,0.8415454019610178,0.1865632949860609,6.0,,,xgboost,19.0,0.6521917767861077,COMPLETE,0 days 00:00:15.097808
15,0.9095792376082326,,0.6789545899686604,0.17464342479469797,6.0,,,lightgbm,16.0,0.6749552126639244,COMPLETE,0 days 00:00:12.982541
